case,seed,use_tsm,n_segment,fold_div,epochs_max,best_epoch,batch_size,lr,weight_decay,normalize_regression,lambda_speed,lambda_omega,select_metric,alpha,early_stop,patience,min_delta,amp,test_loss,test_acc_motion,test_acc_rot,test_acc_shape,test_acc_exact,test_mae_speed,test_rmse_speed,test_mae_omega,test_rmse_omega,test_mae_speed_denorm,test_rmse_speed_denorm,test_mae_omega_denorm,test_rmse_omega_denorm,speed_max,omega_max,_run_dir,_case
FIX_MOT_FIX_ROT,123,False,16,8,100,82,20,0.0003,0.0001,True,1.0,1.0,score,0.5,True,15,0.001,True,1.8775977452596029,0.6108333333333333,0.6633333333333333,1.0,0.4533333333333333,0.021222938522696494,0.0297854491386188,0.004040603960553805,0.01291413827255836,0.21222938522696494,0.29785449138618797,0.040406039605538055,0.1291413827255836,10.0,10.0,runs/ResShift/Regression/GroupNorm_Full_Layer_TSM/without_TSM_res/FIX_MOT_FIX_ROT/20260226-132447_s123_noTSM,FIX_MOT_FIX_ROT
FIX_MOT_FIX_ROT,456,False,16,8,100,58,20,0.0003,0.0001,True,1.0,1.0,score,0.5,True,12,0.002,True,1.7997630933920543,0.6041666666666666,0.6691666666666667,1.0,0.4475,0.022198765849073727,0.030151236298311745,0.005015270244330168,0.01058902059940849,0.22198765849073726,0.30151236298311745,0.05015270244330168,0.10589020599408488,10.0,10.0,runs/ResShift/Regression/GroupNorm_Full_Layer_TSM/without_TSM_res/FIX_MOT_FIX_ROT/20260226-163837_s456_noTSM,FIX_MOT_FIX_ROT
FIX_MOT_FIX_ROT,789,False,16,8,100,56,20,0.0003,0.0001,True,1.0,1.0,score,0.5,True,12,0.002,True,1.8434371809164682,0.6016666666666667,0.6691666666666667,1.0,0.4266666666666667,0.022704683989286423,0.030619896852354174,0.006244635965364675,0.01666220426277003,0.22704683989286423,0.3061989685235417,0.06244635965364675,0.1666220426277003,10.0,10.0,runs/ResShift/Regression/GroupNorm_Full_Layer_TSM/without_TSM_res/FIX_MOT_FIX_ROT/20260226-183035_s789_noTSM,FIX_MOT_FIX_ROT
FIX_MOT_FIX_ROT,123,True,16,8,100,26,20,0.0003,0.0001,True,1.0,1.0,score,0.5,True,12,0.002,True,0.8814038147528966,1.0,1.0,1.0,1.0,0.0019229277906318506,0.0024950718179361114,0.003554539199297627,0.004500758841727345,0.019229277906318506,0.024950718179361113,0.035545391992976266,0.045007588417273446,10.0,10.0,runs/ResShift/Regression/GroupNorm_Full_Layer_TSM/with_TSM_res/FIX_MOT_FIX_ROT/20260226-154350_s123_tsm,FIX_MOT_FIX_ROT
FIX_MOT_FIX_ROT,456,True,16,8,100,16,20,0.0003,0.0001,True,1.0,1.0,score,0.5,True,12,0.002,True,0.8829369366168975,1.0,1.0,1.0,1.0,0.003958361598973473,0.005149836530800946,0.002798153121645252,0.003662282211973606,0.03958361598973473,0.05149836530800946,0.02798153121645252,0.03662282211973606,10.0,10.0,runs/ResShift/Regression/GroupNorm_Full_Layer_TSM/with_TSM_res/FIX_MOT_FIX_ROT/20260226-175025_s456_tsm,FIX_MOT_FIX_ROT
FIX_MOT_FIX_ROT,789,True,16,8,100,23,20,0.0003,0.0001,True,1.0,1.0,score,0.5,True,12,0.002,True,0.8833405305941899,1.0,1.0,1.0,1.0,0.0019268416799604893,0.0026678423926996394,0.003286709180101752,0.005576182825646445,0.019268416799604893,0.026678423926996396,0.032867091801017524,0.05576182825646445,10.0,10.0,runs/ResShift/Regression/GroupNorm_Full_Layer_TSM/with_TSM_res/FIX_MOT_FIX_ROT/20260226-194112_s789_tsm,FIX_MOT_FIX_ROT
FIX_MOT_VAR_ROT,123,False,16,8,100,57,20,0.0003,0.0001,True,1.0,1.0,score,0.5,True,12,0.002,True,1.9936941583951315,0.6066666666666667,0.5833333333333334,1.0,0.38,0.027037082662185033,0.03420971116030721,0.0958547077079614,0.14091747349497616,0.2703708266218503,0.3420971116030721,0.958547077079614,1.4091747349497616,10.0,10.0,runs/ResShift/Regression/GroupNorm_Full_Layer_TSM/without_TSM_res/FIX_MOT_VAR_ROT/20260227-022947_s123_noTSM,FIX_MOT_VAR_ROT
FIX_MOT_VAR_ROT,456,False,16,8,100,25,20,0.0003,0.0001,True,1.0,1.0,score,0.5,True,12,0.002,True,1.9363068183263143,0.6058333333333333,0.6016666666666667,1.0,0.36833333333333335,0.023742850522200265,0.030881176625708863,0.1241178395350774,0.1778103592997402,0.23742850522200265,0.3088117662570886,1.241178395350774,1.778103592997402,10.0,10.0,runs/ResShift/Regression/GroupNorm_Full_Layer_TSM/without_TSM_res/FIX_MOT_VAR_ROT/20260227-044212_s456_noTSM,FIX_MOT_VAR_ROT
FIX_MOT_VAR_ROT,789,False,16,8,100,53,20,0.0003,0.0001,True,1.0,1.0,score,0.5,True,12,0.002,True,2.023523982365926,0.6183333333333333,0.5883333333333334,1.0,0.385,0.024091943924625714,0.03230054341021947,0.10063473572333653,0.1488222729916605,0.24091943924625714,0.32300543410219473,1.0063473572333654,1.488222729916605,10.0,10.0,runs/ResShift/Regression/GroupNorm_Full_Layer_TSM/without_TSM_res/FIX_MOT_VAR_ROT/20260227-063259_s789_noTSM,FIX_MOT_VAR_ROT
FIX_MOT_VAR_ROT,123,True,16,8,100,34,20,0.0003,0.0001,True,1.0,1.0,score,0.5,True,12,0.002,True,0.9138381699721019,1.0,0.9875,1.0,0.9875,0.0018084034028773507,0.0029470115835850174,0.03448073054353396,0.05447373586257059,0.018084034028773507,0.029470115835850172,0.3448073054353396,0.5447373586257058,10.0,10.0,runs/ResShift/Regression/GroupNorm_Full_Layer_TSM/with_TSM_res/FIX_MOT_VAR_ROT/20260227-033836_s123_tsm,FIX_MOT_VAR_ROT
FIX_MOT_VAR_ROT,456,True,16,8,100,40,20,0.0003,0.0001,True,1.0,1.0,score,0.5,True,12,0.002,True,0.9284226616223653,1.0,0.9825,1.0,0.9825,0.0014574823124955097,0.0019725125351447528,0.029532007724046707,0.04796226719504695,0.014574823124955097,0.019725125351447527,0.29532007724046705,0.4796226719504695,10.0,10.0,runs/ResShift/Regression/GroupNorm_Full_Layer_TSM/with_TSM_res/FIX_MOT_VAR_ROT/20260227-051931_s456_tsm,FIX_MOT_VAR_ROT
FIX_MOT_VAR_ROT,789,True,16,8,100,40,20,0.0003,0.0001,True,1.0,1.0,score,0.5,True,12,0.002,True,0.9267558336257935,1.0,0.9825,0.9991666666666666,0.9816666666666667,0.003609099369496107,0.0049235515667579895,0.02932530457774798,0.04742467622362708,0.03609099369496107,0.049235515667579895,0.2932530457774798,0.4742467622362708,10.0,10.0,runs/ResShift/Regression/GroupNorm_Full_Layer_TSM/with_TSM_res/FIX_MOT_VAR_ROT/20260227-074336_s789_tsm,FIX_MOT_VAR_ROT
VAR_MOT_FIX_ROT,123,False,16,8,100,19,20,0.0003,0.0001,True,1.0,1.0,score,0.5,True,12,0.002,True,2.2365238924821216,0.6925,0.37166666666666665,1.0,0.25583333333333336,0.04116974557439486,0.05147448227194302,0.2602670200665792,0.2840181007980389,0.41169745574394856,0.5147448227194302,2.6026702006657922,2.840181007980389,10.0,10.0,runs/ResShift/Regression/GroupNorm_Full_Layer_TSM/without_TSM_res/VAR_MOT_FIX_ROT/20260227-085952_s123_noTSM,VAR_MOT_FIX_ROT
VAR_MOT_FIX_ROT,456,False,16,8,100,54,20,0.0003,0.0001,True,1.0,1.0,score,0.5,True,12,0.002,True,1.8622986098130545,0.6933333333333334,0.6466666666666666,1.0,0.4533333333333333,0.046528716137011844,0.05977854713665002,0.025801624779899914,0.05719726612623398,0.46528716137011844,0.5977854713665002,0.2580162477989991,0.5719726612623398,10.0,10.0,runs/ResShift/Regression/GroupNorm_Full_Layer_TSM/without_TSM_res/VAR_MOT_FIX_ROT/20260227-110208_s456_noTSM,VAR_MOT_FIX_ROT
VAR_MOT_FIX_ROT,789,False,16,8,100,5,20,0.0003,0.0001,True,1.0,1.0,score,0.5,True,12,0.002,True,2.3631144165992737,0.6716666666666666,0.3475,1.0,0.22416666666666665,0.04903181458512942,0.06064937888789551,0.2682267578442891,0.28409644551806745,0.4903181458512942,0.6064937888789551,2.6822675784428913,2.8409644551806745,10.0,10.0,runs/ResShift/Regression/GroupNorm_Full_Layer_TSM/without_TSM_res/VAR_MOT_FIX_ROT/20260227-135544_s789_noTSM,VAR_MOT_FIX_ROT
VAR_MOT_FIX_ROT,123,True,16,8,100,47,20,0.0003,0.0001,True,1.0,1.0,score,0.5,True,12,0.002,True,0.9084041198094686,0.99,0.9983333333333333,1.0,0.9883333333333333,0.017595720353225867,0.02475527010102839,0.0057027355395257474,0.01641015079701002,0.1759572035322587,0.2475527010102839,0.057027355395257474,0.1641015079701002,10.0,10.0,runs/ResShift/Regression/GroupNorm_Full_Layer_TSM/with_TSM_res/VAR_MOT_FIX_ROT/20260227-093158_s123_tsm,VAR_MOT_FIX_ROT
VAR_MOT_FIX_ROT,456,True,16,8,100,58,20,0.0003,0.0001,True,1.0,1.0,score,0.5,True,12,0.002,True,0.8956879407167435,0.9966666666666667,1.0,1.0,0.9966666666666667,0.01573240118722121,0.021516312595156874,0.0020051782500619688,0.008096981257134364,0.15732401187221212,0.21516312595156875,0.02005178250061969,0.08096981257134364,10.0,10.0,runs/ResShift/Regression/GroupNorm_Full_Layer_TSM/with_TSM_res/VAR_MOT_FIX_ROT/20260227-121616_s456_tsm,VAR_MOT_FIX_ROT
VAR_MOT_FIX_ROT,789,True,16,8,100,50,20,0.0003,0.0001,True,1.0,1.0,score,0.5,True,12,0.002,True,0.8949803739786149,0.9958333333333333,1.0,1.0,0.9958333333333333,0.01782802910854419,0.02484016726697033,0.0023924986024697623,0.004268891583443907,0.1782802910854419,0.2484016726697033,0.02392498602469762,0.042688915834439074,10.0,10.0,runs/ResShift/Regression/GroupNorm_Full_Layer_TSM/with_TSM_res/VAR_MOT_FIX_ROT/20260227-141503_s789_tsm,VAR_MOT_FIX_ROT
VAR_MOT_VAR_ROT,123,False,16,8,100,55,20,0.0003,0.0001,True,1.0,1.0,score,0.5,True,12,0.002,True,2.14108278354009,0.6716666666666666,0.5658333333333333,1.0,0.37333333333333335,0.047729877730210625,0.06256032091678955,0.1055665569504102,0.14599911902449833,0.47729877730210624,0.6256032091678955,1.055665569504102,1.4599911902449834,10.0,10.0,runs/ResShift/Regression/GroupNorm_Full_Layer_TSM/without_TSM_res/VAR_MOT_VAR_ROT/20260227-155318_s123_noTSM,VAR_MOT_VAR_ROT
VAR_MOT_VAR_ROT,456,False,16,8,100,9,20,0.0003,0.0001,True,1.0,1.0,score,0.5,True,15,0.001,True,2.293056344985962,0.7033333333333334,0.3725,1.0,0.25916666666666666,0.0444228000442187,0.05374556893050568,0.30654889504114785,0.3454601382178997,0.44422800044218697,0.5374556893050568,3.0654889504114786,3.454601382178997,10.0,10.0,runs/ResShift/Regression/GroupNorm_Full_Layer_TSM/without_TSM_res/VAR_MOT_VAR_ROT/20260227-173859_s456_noTSM,VAR_MOT_VAR_ROT
VAR_MOT_VAR_ROT,789,False,16,8,100,57,20,0.0003,0.0001,True,1.0,1.0,score,0.5,True,15,0.001,True,2.103269565105438,0.69,0.5466666666666666,1.0,0.37833333333333335,0.04488965347409248,0.061269352727906984,0.11659051418304443,0.16589265459615074,0.44889653474092484,0.6126935272790699,1.1659051418304442,1.6589265459615075,10.0,10.0,runs/ResShift/Regression/GroupNorm_Full_Layer_TSM/without_TSM_res/VAR_MOT_VAR_ROT/20260227-180715_s789_noTSM,VAR_MOT_VAR_ROT
VAR_MOT_VAR_ROT,123,True,16,8,100,89,20,0.001,0.0001,True,1.0,1.0,score,0.5,True,15,0.001,True,1.0221731225649515,0.9958333333333333,0.945,1.0,0.9416666666666667,0.017261682661871114,0.02429268935016248,0.042209428797165556,0.07389018327328292,0.17261682661871114,0.24292689350162483,0.42209428797165555,0.7389018327328292,10.0,10.0,runs/ResShift/Regression/GroupNorm_Full_Layer_TSM/with_TSM_res/VAR_MOT_VAR_ROT/20260225-180341_s456_tsm,VAR_MOT_VAR_ROT
VAR_MOT_VAR_ROT,123,True,16,8,100,86,20,0.001,0.0001,True,1.0,1.0,score,0.5,True,15,0.001,True,1.0008914401133855,0.9883333333333333,0.9608333333333333,1.0,0.95,0.01574494564284881,0.023165365315358274,0.041441821008920667,0.07034980811761554,0.1574494564284881,0.23165365315358274,0.41441821008920665,0.7034980811761554,10.0,10.0,runs/ResShift/Regression/GroupNorm_Full_Layer_TSM/with_TSM_res/VAR_MOT_VAR_ROT/20260225-151951_s123_tsm,VAR_MOT_VAR_ROT
VAR_MOT_VAR_ROT,123,True,16,8,100,86,20,0.001,0.0001,True,1.0,1.0,score,0.5,True,15,0.001,True,0.9998209794362386,0.9933333333333333,0.9566666666666667,1.0,0.95,0.017101001565655072,0.023882652014120462,0.04213365599513054,0.0736745918088348,0.17101001565655072,0.23882652014120462,0.42133655995130537,0.736745918088348,10.0,10.0,runs/ResShift/Regression/GroupNorm_Full_Layer_TSM/with_TSM_res/VAR_MOT_VAR_ROT/20260226-104514_s789_tsm,VAR_MOT_VAR_ROT
